CellType,CellID,X,Y
FPC,FP C9C#13,-41800,-1250
FPC,FP C9C#14,-41800,-1000
FPC,FP C9C#15,-41800,-750
FPC,FP C9C#16,-41800,-500
FPC,FP C9C#17,-41800,-250
FPC,FP C9C#18,-41800,0
FPC,FP C9C#19,-41800,250
FPC,FP C9C#20,-41800,500
FPC,FP C9C#21,-41800,750
FPC,FP C9C#22,-41800,1000
FPC,FP C9C#23,-41800,1250
FPC,FP C9C#24,-41800,1500
FPC,FP C9C#25,-41800,1750
FPC,FP C9C#26,-41800,2000
FPC,FP C9C#27,-41800,2250
FPC,FP C9C#28,-41800,2500
FPC,FP C9C#29,-41800,2750
FPC,FP C9C#30,-41800,3000
FPC,FP C9C#31,-41800,3250
FPC,FP C9C#32,-41800,3500
FPC,FP C9C#33,-41800,3750
FPC,FP C9C#34,-41800,4000
FPC,FP C9C#35,-41800,4250
FPC,FP C9C#36,-41800,4500
FPC,FP C9C#37,-41800,4750
FPC,FP C9C#38,-41800,5000
FPC,FP C9C#39,-41800,5250
FPC,FP C9C#40,-41800,5500
FPC,FP C9C#41,-41800,5750
FPC,FP C9C#42,-41800,6000
FPC,FP C9C#43,-41800,6250
FPC,FP C9C#44,-41800,6500
FPC,FP C9C#45,-41800,6750
FPC,FP C9C#46,-41800,7000
FPC,FP C9C#47,-41800,7250
FPC,FP C9C#48,-41800,7500
FPC,FP C9C#49,-41800,7750
FPC,FP C9C#50,-41800,8000
FPC,FP C9C#51,-41800,8250
FPC,FP C9C#52,-41800,8500
FPC,FP C9C#53,-41800,8750
FPC,FP C9C#54,-41800,9000
FPC,FP C9C#55,-41800,9250
FPC,FP C9C#56,-41800,9500
FPC,FP C9C#57,-41800,9750
FPC,FP C9C#58,-41800,10000
FPC,FP C9C#59,-41800,10250
FPC,FP C9C#60,-41800,10500
FPC,FP C9C#61,-41800,10750
FPC,FP C9C#62,-41800,11000
FPC,FP C9C#63,-41800,11250
FPC,FP C9C#64,-41800,11500
FPC,FP C9C#65,-41800,11750
FPC,FP C9C#66,-41800,12000
FPC,FP C9C#67,-41800,12250
FPC,FP C9C#68,-41800,12500
FPC,FP C9C#69,-41800,12750
FPC,FP C9C#70,-41800,13000
FPC,FP C13C#13,-41800,-22250
FPC,FP C13C#14,-41800,-22000
FPC,FP C13C#15,-41800,-21750
FPC,FP C13C#16,-41800,-21500
FPC,FP C13C#17,-41800,-21250
FPC,FP C13C#18,-41800,-21000
FPC,FP C13C#19,-41800,-20750
FPC,FP C13C#20,-41800,-20500
FPC,FP C13C#21,-41800,-20250
FPC,FP C13C#22,-41800,-20000
FPC,FP C13C#23,-41800,-19750
FPC,FP C13C#24,-41800,-19500
FPC,FP C13C#25,-41800,-19250
FPC,FP C13C#26,-41800,-19000
FPC,FP C13C#27,-41800,-18750
FPC,FP C13C#28,-41800,-18500
FPC,FP C13C#29,-41800,-18250
FPC,FP C13C#30,-41800,-18000
FPC,FP C13C#31,-41800,-17750
FPC,FP C13C#32,-41800,-17500
FPC,FP C13C#33,-41800,-17250
FPC,FP C13C#34,-41800,-17000
FPC,FP C13C#35,-41800,-16750
FPC,FP C13C#36,-41800,-16500
FPC,FP C13C#37,-41800,-16250
FPC,FP C13C#38,-41800,-16000
FPC,FP C13C#39,-41800,-15750
FPC,FP C13C#40,-41800,-15500
FPC,FP C13C#41,-41800,-15250
FPC,FP C13C#42,-41800,-15000
FPC,FP C13C#43,-41800,-14750
FPC,FP C13C#44,-41800,-14500
FPC,FP C13C#45,-41800,-14250
FPC,FP C13C#46,-41800,-14000
FPC,FP C13C#47,-41800,-13750
FPC,FP C13C#48,-41800,-13500
