Dies/Measurements,LIV_PULSE_FPI_PULSED_500mA_pwidth2e-05_pdelay0.002_20degC,LIV_STAIRCASE_FPI_DC_300mA_pwidth0.005_pdelay2e-05_20degC,LIV_PULSE_FPI_PULSED_500mA_pwidth2e-05_pdelay0.002_40degC,LIV_STAIRCASE_FPI_DC_300mA_pwidth0.005_pdelay2e-05_40degC,LIV_PULSE_FPI_PULSED_500mA_pwidth2e-05_pdelay0.002_55degC,LIV_STAIRCASE_FPI_DC_300mA_pwidth0.005_pdelay2e-05_55degC,LIV_PULSE_FPI_PULSED_500mA_pwidth2e-05_pdelay0.002_80degC,LIV_STAIRCASE_FPI_DC_300mA_pwidth0.005_pdelay2e-05_80degC
FP C9C#13,0,0,0,0,0,0,0,0
FP C9C#14,0,0,0,0,0,0,0,0
FP C9C#15,0,0,0,0,0,0,0,0
FP C9C#16,0,0,0,0,0,0,0,0
FP C9C#17,0,0,0,0,0,0,0,0
FP C9C#18,0,0,0,0,0,0,0,0
FP C9C#19,0,0,0,0,0,0,0,0
FP C9C#20,0,0,0,0,0,0,0,0
FP C9C#21,0,0,0,0,0,0,0,0
FP C9C#22,0,0,0,0,0,0,0,0
FP C9C#23,0,0,0,0,0,0,0,0
FP C9C#24,0,0,0,0,0,0,0,0
FP C9C#25,0,0,0,0,0,0,0,0
FP C9C#26,0,0,0,0,0,0,0,0
FP C9C#27,0,0,0,0,0,0,0,0
FP C9C#28,0,0,0,0,0,0,0,0
FP C9C#29,0,0,0,0,0,0,0,0
FP C9C#30,0,0,0,0,0,0,0,0
FP C9C#31,0,0,0,0,0,0,0,0
FP C9C#32,0,0,0,0,0,0,0,0
FP C9C#33,0,0,0,0,0,0,0,0
FP C9C#34,0,0,0,0,0,0,0,0
FP C9C#35,0,0,0,0,0,0,0,0
FP C9C#36,0,0,0,0,0,0,0,0
FP C9C#37,0,0,0,0,0,0,0,0
FP C9C#38,0,0,0,0,0,0,0,0
FP C9C#39,0,0,0,0,0,0,0,0
FP C9C#40,0,0,0,0,0,0,0,0
FP C9C#41,0,0,0,0,0,0,0,0
FP C9C#42,0,0,0,0,0,0,0,0
FP C9C#43,0,0,0,0,0,0,0,0
FP C9C#44,0,0,0,0,0,0,0,0
FP C9C#45,0,0,0,0,0,0,0,0
FP C9C#46,0,0,0,0,0,0,0,0
FP C9C#47,0,0,0,0,0,0,0,0
FP C9C#48,0,0,0,0,0,0,0,0
FP C9C#49,0,0,0,0,0,0,0,0
FP C9C#50,0,0,0,0,0,0,0,0
FP C9C#51,0,0,0,0,0,0,0,0
FP C9C#52,0,0,0,0,0,0,0,0
FP C9C#53,0,0,0,0,0,0,0,0
FP C9C#54,0,0,0,0,0,0,0,0
FP C9C#55,0,0,0,0,0,0,0,0
FP C9C#56,0,0,0,0,0,0,0,0
FP C9C#57,0,0,0,0,0,0,0,0
FP C9C#58,0,0,0,0,0,0,0,0
FP C9C#59,0,0,0,0,0,0,0,0
FP C9C#60,0,0,0,0,0,0,0,0
FP C9C#61,0,0,0,0,0,0,0,0
FP C9C#62,0,0,0,0,0,0,0,0
FP C9C#63,0,0,0,0,0,0,0,0
FP C9C#64,0,0,0,0,0,0,0,0
FP C9C#65,0,0,0,0,0,0,0,0
FP C9C#66,0,0,0,0,0,0,0,0
FP C9C#67,0,0,0,0,0,0,0,0
FP C9C#68,0,0,0,0,0,0,0,0
FP C9C#69,0,0,0,0,0,0,0,0
FP C9C#70,0,0,0,0,0,0,0,0
FP C13C#13,0,0,0,0,0,0,0,0
FP C13C#14,0,0,0,0,0,0,0,0
FP C13C#15,0,0,0,0,0,0,0,0
FP C13C#16,0,0,0,0,0,0,0,0
FP C13C#17,0,0,0,0,0,0,0,0
FP C13C#18,0,0,0,0,0,0,0,0
FP C13C#19,0,0,0,0,0,0,0,0
FP C13C#20,0,0,0,0,0,0,0,0
FP C13C#21,0,0,0,0,0,0,0,0
FP C13C#22,0,0,0,0,0,0,0,0
FP C13C#23,0,0,0,0,0,0,0,0
FP C13C#24,0,0,0,0,0,0,0,0
FP C13C#25,0,0,0,0,0,0,0,0
FP C13C#26,0,0,0,0,0,0,0,0
FP C13C#27,0,0,0,0,0,0,0,0
FP C13C#28,0,0,0,0,0,0,0,0
FP C13C#29,0,0,0,0,0,0,0,0
FP C13C#30,0,0,0,0,0,0,0,0
FP C13C#31,0,0,0,0,0,0,0,0
FP C13C#32,0,0,0,0,0,0,0,0
FP C13C#33,0,0,0,0,0,0,0,0
FP C13C#34,0,0,0,0,0,0,0,0
FP C13C#35,0,0,0,0,0,0,0,0
FP C13C#36,0,0,0,0,0,0,0,0
FP C13C#37,0,0,0,0,0,0,0,0
FP C13C#38,0,0,0,0,0,0,0,0
FP C13C#39,0,0,0,0,0,0,0,0
FP C13C#40,0,0,0,0,0,0,0,0
FP C13C#41,0,0,0,0,0,0,0,0
FP C13C#42,0,0,0,0,0,0,0,0
FP C13C#43,0,0,0,0,0,0,0,0
FP C13C#44,0,0,0,0,0,0,0,0
FP C13C#45,0,0,0,0,0,0,0,0
FP C13C#46,0,0,0,0,0,0,0,0
FP C13C#47,0,0,0,0,0,0,0,0
FP C13C#48,0,0,0,0,0,0,0,0
FP C13C#49,0,0,0,0,0,0,0,0
FP C13C#50,0,0,0,0,0,0,0,0
FP C13C#51,0,0,0,0,0,0,0,0
FP C13C#52,0,0,0,0,0,0,0,0
FP C13C#53,0,0,0,0,0,0,0,0
FP C13C#54,0,0,0,0,0,0,0,0
FP C13C#55,0,0,0,0,0,0,0,0
FP C13C#56,0,0,0,0,0,0,0,0
FP C13C#57,0,0,0,0,0,0,0,0
FP C13C#58,0,0,0,0,0,0,0,0
FP C13C#59,0,0,0,0,0,0,0,0
FP C13C#60,0,0,0,0,0,0,0,0
FP C13C#61,0,0,0,0,0,0,0,0
FP C13C#62,0,0,0,0,0,0,0,0
FP C13C#63,0,0,0,0,0,0,0,0
FP C13C#64,0,0,0,0,0,0,0,0
FP C13C#65,0,0,0,0,0,0,0,0
FP C13C#66,0,0,0,0,0,0,0,0
FP C13C#67,0,0,0,0,0,0,0,0
FP C13C#68,0,0,0,0,0,0,0,0
FP C13C#69,0,0,0,0,0,0,0,0
FP C13C#70,0,0,0,0,0,0,0,0
FP F9C#13,0,0,0,0,0,0,0,0
FP F9C#14,0,0,0,0,0,0,0,0
FP F9C#15,0,0,0,0,0,0,0,0
FP F9C#16,0,0,0,0,0,0,0,0
FP F9C#17,0,0,0,0,0,0,0,0
FP F9C#18,0,0,0,0,0,0,0,0
FP F9C#19,0,0,0,0,0,0,0,0
FP F9C#20,0,0,0,0,0,0,0,0
FP F9C#21,0,0,0,0,0,0,0,0
FP F9C#22,0,0,0,0,0,0,0,0
FP F9C#23,0,0,0,0,0,0,0,0
FP F9C#24,0,0,0,0,0,0,0,0
