CellType,BarID,DeviceID,CellID,X,Y
Bar1A,A6_1A,1,Bar1A_A6_1A_01,-51268,40730.5
Bar1A,A6_1A,2,Bar1A_A6_1A_02,-51268,40480.5
Bar1A,A6_1A,3,Bar1A_A6_1A_03,-51268,40230.5
Bar1A,A6_1A,4,Bar1A_A6_1A_04,-51268,39980.5
Bar1A,A6_1A,5,Bar1A_A6_1A_05,-51268,39730.5
Bar1A,A6_1A,6,Bar1A_A6_1A_06,-51268,39480.5
Bar1A,A6_1A,7,Bar1A_A6_1A_07,-51268,39230.5
Bar1A,A6_1A,8,Bar1A_A6_1A_08,-51268,38980.5
Bar1A,A6_1A,9,Bar1A_A6_1A_09,-51268,38730.5
Bar1A,A6_1A,10,Bar1A_A6_1A_10,-51268,38480.5
Bar1A,A6_1A,11,Bar1A_A6_1A_11,-51268,38230.5
Bar1A,A6_1A,12,Bar1A_A6_1A_12,-51268,37980.5
Bar1A,A6_1A,13,Bar1A_A6_1A_13,-51268,37730.5
Bar1A,A6_1A,14,Bar1A_A6_1A_14,-51268,37480.5
Bar1A,A6_1A,15,Bar1A_A6_1A_15,-51268,37230.5
Bar1A,A6_1A,16,Bar1A_A6_1A_16,-51268,36980.5
Bar1A,A6_1A,17,Bar1A_A6_1A_17,-51268,36730.5
Bar1A,A6_1A,18,Bar1A_A6_1A_18,-51268,36480.5
Bar1A,A6_1A,19,Bar1A_A6_1A_19,-51268,36230.5
Bar1A,A6_1A,20,Bar1A_A6_1A_20,-51268,35980.5
Bar1A,A6_1A,21,Bar1A_A6_1A_21,-51268,35730.5
Bar1A,A6_1A,22,Bar1A_A6_1A_22,-51268,35480.5
Bar1A,A6_1A,23,Bar1A_A6_1A_23,-51268,35230.5
Bar1A,A6_1A,24,Bar1A_A6_1A_24,-51268,34980.5
Bar1A,A6_1A,25,Bar1A_A6_1A_25,-51268,34730.5
Bar1A,A6_1A,26,Bar1A_A6_1A_26,-51268,34480.5
Bar1A,A6_1A,27,Bar1A_A6_1A_27,-51268,34230.5
Bar1A,A6_1A,28,Bar1A_A6_1A_28,-51268,33980.5
Bar1A,A6_1A,29,Bar1A_A6_1A_29,-51268,33730.5
Bar1A,A6_1A,30,Bar1A_A6_1A_30,-51268,33480.5
Bar1A,A6_1A,31,Bar1A_A6_1A_31,-51268,33230.5
Bar1A,A6_1A,32,Bar1A_A6_1A_32,-51268,32980.5
Bar1A,A6_1A,33,Bar1A_A6_1A_33,-51268,32730.5
Bar1A,A6_1A,34,Bar1A_A6_1A_34,-51268,32480.5
Bar1A,A6_1A,35,Bar1A_A6_1A_35,-51268,32230.5
Bar1A,A6_1A,36,Bar1A_A6_1A_36,-51268,31980.5
Bar1A,A6_1A,37,Bar1A_A6_1A_37,-51268,31730.5
Bar1A,A6_1A,38,Bar1A_A6_1A_38,-51268,31480.5
Bar1A,A6_1A,39,Bar1A_A6_1A_39,-51268,31230.5
Bar1A,A6_1A,40,Bar1A_A6_1A_40,-51268,30980.5
Bar1A,A6_1A,41,Bar1A_A6_1A_41,-51268,30730.5
Bar1A,A6_1A,42,Bar1A_A6_1A_42,-51268,30480.5
Bar1A,A6_1A,43,Bar1A_A6_1A_43,-51268,30230.5
Bar1A,A6_1A,44,Bar1A_A6_1A_44,-51268,29980.5
Bar1A,A6_1A,45,Bar1A_A6_1A_45,-51268,29730.5
Bar1A,A6_1A,46,Bar1A_A6_1A_46,-51268,29480.5
Bar1A,A6_1A,47,Bar1A_A6_1A_47,-51268,29230.5
Bar1A,A6_1A,48,Bar1A_A6_1A_48,-51268,28980.5
Bar1A,A6_1A,49,Bar1A_A6_1A_49,-51268,28730.5
Bar1A,A6_1A,50,Bar1A_A6_1A_50,-51268,28480.5
Bar1A,A6_1A,51,Bar1A_A6_1A_51,-51268,28230.5
Bar1A,A6_1A,52,Bar1A_A6_1A_52,-51268,27980.5
Bar1A,A6_1A,53,Bar1A_A6_1A_53,-51268,27730.5
Bar1A,A6_1A,54,Bar1A_A6_1A_54,-51268,27480.5
Bar1A,A6_1A,55,Bar1A_A6_1A_55,-51268,27230.5
Bar1A,A6_1A,56,Bar1A_A6_1A_56,-51268,26980.5
Bar1A,A6_1A,57,Bar1A_A6_1A_57,-51268,26730.5
Bar1A,A6_1A,58,Bar1A_A6_1A_58,-51268,26480.5
Bar1A,A6_1A,59,Bar1A_A6_1A_59,-51268,26230.5
Bar1A,A6_1A,60,Bar1A_A6_1A_60,-51268,25980.5
Bar1A,A6_1A,61,Bar1A_A6_1A_61,-51268,25730.5
Bar1A,A6_1A,62,Bar1A_A6_1A_62,-51268,25480.5
Bar1A,A6_1A,63,Bar1A_A6_1A_63,-51268,25230.5
Bar1A,A6_1A,64,Bar1A_A6_1A_64,-51268,24980.5
Bar1A,A6_1A,65,Bar1A_A6_1A_65,-51268,24730.5
Bar1A,A6_1A,66,Bar1A_A6_1A_66,-51268,24480.5
Bar1A,A6_1A,67,Bar1A_A6_1A_67,-51268,24230.5
Bar1A,G1_1A,1,Bar1A_G1_1A_01,-21668,61730.5
Bar1A,G1_1A,2,Bar1A_G1_1A_02,-21668,61480.5
Bar1A,G1_1A,3,Bar1A_G1_1A_03,-21668,61230.5
Bar1A,G1_1A,4,Bar1A_G1_1A_04,-21668,60980.5
Bar1A,G1_1A,5,Bar1A_G1_1A_05,-21668,60730.5
Bar1A,G1_1A,6,Bar1A_G1_1A_06,-21668,60480.5
Bar1A,G1_1A,7,Bar1A_G1_1A_07,-21668,60230.5
Bar1A,G1_1A,8,Bar1A_G1_1A_08,-21668,59980.5
Bar1A,G1_1A,9,Bar1A_G1_1A_09,-21668,59730.5
Bar1A,G1_1A,10,Bar1A_G1_1A_10,-21668,59480.5
Bar1A,G1_1A,11,Bar1A_G1_1A_11,-21668,59230.5
Bar1A,G1_1A,12,Bar1A_G1_1A_12,-21668,58980.5
Bar1A,G1_1A,13,Bar1A_G1_1A_13,-21668,58730.5
Bar1A,G1_1A,14,Bar1A_G1_1A_14,-21668,58480.5
Bar1A,G1_1A,15,Bar1A_G1_1A_15,-21668,58230.5
Bar1A,G1_1A,16,Bar1A_G1_1A_16,-21668,57980.5
Bar1A,G1_1A,17,Bar1A_G1_1A_17,-21668,57730.5
Bar1A,G1_1A,18,Bar1A_G1_1A_18,-21668,57480.5
Bar1A,G1_1A,19,Bar1A_G1_1A_19,-21668,57230.5
Bar1A,G1_1A,20,Bar1A_G1_1A_20,-21668,56980.5
Bar1A,G1_1A,21,Bar1A_G1_1A_21,-21668,56730.5
Bar1A,G1_1A,22,Bar1A_G1_1A_22,-21668,56480.5
Bar1A,G1_1A,23,Bar1A_G1_1A_23,-21668,56230.5
Bar1A,G1_1A,24,Bar1A_G1_1A_24,-21668,55980.5
Bar1A,G1_1A,25,Bar1A_G1_1A_25,-21668,55730.5
Bar1A,G1_1A,26,Bar1A_G1_1A_26,-21668,55480.5
Bar1A,G1_1A,27,Bar1A_G1_1A_27,-21668,55230.5
Bar1A,G1_1A,28,Bar1A_G1_1A_28,-21668,54980.5
Bar1A,G1_1A,29,Bar1A_G1_1A_29,-21668,54730.5
Bar1A,G1_1A,30,Bar1A_G1_1A_30,-21668,54480.5
Bar1A,G1_1A,31,Bar1A_G1_1A_31,-21668,54230.5
Bar1A,G1_1A,32,Bar1A_G1_1A_32,-21668,53980.5
Bar1A,G1_1A,33,Bar1A_G1_1A_33,-21668,53730.5
Bar1A,G1_1A,34,Bar1A_G1_1A_34,-21668,53480.5
Bar1A,G1_1A,35,Bar1A_G1_1A_35,-21668,53230.5
Bar1A,G1_1A,36,Bar1A_G1_1A_36,-21668,52980.5
Bar1A,G1_1A,37,Bar1A_G1_1A_37,-21668,52730.5
Bar1A,G1_1A,38,Bar1A_G1_1A_38,-21668,52480.5
Bar1A,G1_1A,39,Bar1A_G1_1A_39,-21668,52230.5
Bar1A,G1_1A,40,Bar1A_G1_1A_40,-21668,51980.5
Bar1A,G1_1A,41,Bar1A_G1_1A_41,-21668,51730.5
Bar1A,G1_1A,42,Bar1A_G1_1A_42,-21668,51480.5
Bar1A,G1_1A,43,Bar1A_G1_1A_43,-21668,51230.5
Bar1A,G1_1A,44,Bar1A_G1_1A_44,-21668,50980.5
Bar1A,G1_1A,45,Bar1A_G1_1A_45,-21668,50730.5
Bar1A,G1_1A,46,Bar1A_G1_1A_46,-21668,50480.5
Bar1A,G1_1A,47,Bar1A_G1_1A_47,-21668,50230.5
Bar1A,G1_1A,48,Bar1A_G1_1A_48,-21668,49980.5
Bar1A,G1_1A,49,Bar1A_G1_1A_49,-21668,49730.5
Bar1A,G1_1A,50,Bar1A_G1_1A_50,-21668,49480.5
Bar1A,G1_1A,51,Bar1A_G1_1A_51,-21668,49230.5
Bar1A,G1_1A,52,Bar1A_G1_1A_52,-21668,48980.5
Bar1A,G1_1A,53,Bar1A_G1_1A_53,-21668,48730.5
Bar1A,G1_1A,54,Bar1A_G1_1A_54,-21668,48480.5
Bar1A,G1_1A,55,Bar1A_G1_1A_55,-21668,48230.5
Bar1A,G1_1A,56,Bar1A_G1_1A_56,-21668,47980.5
Bar1A,G1_1A,57,Bar1A_G1_1A_57,-21668,47730.5
Bar1A,G1_1A,58,Bar1A_G1_1A_58,-21668,47480.5
Bar1A,G1_1A,59,Bar1A_G1_1A_59,-21668,47230.5
Bar1A,G1_1A,60,Bar1A_G1_1A_60,-21668,46980.5
Bar1A,G1_1A,61,Bar1A_G1_1A_61,-21668,46730.5
Bar1A,G1_1A,62,Bar1A_G1_1A_62,-21668,46480.5
Bar1A,G1_1A,63,Bar1A_G1_1A_63,-21668,46230.5
Bar1A,G1_1A,64,Bar1A_G1_1A_64,-21668,45980.5
Bar1A,G1_1A,65,Bar1A_G1_1A_65,-21668,45730.5
Bar1A,G1_1A,66,Bar1A_G1_1A_66,-21668,45480.5
Bar1A,G1_1A,67,Bar1A_G1_1A_67,-21668,45230.5
Bar1B,G1_1B,1,Bar1B_G1_1B_01,-20868,61730.5
Bar1B,G1_1B,2,Bar1B_G1_1B_02,-20868,61480.5
Bar1B,G1_1B,3,Bar1B_G1_1B_03,-20868,61230.5
Bar1B,G1_1B,4,Bar1B_G1_1B_04,-20868,60980.5
Bar1B,G1_1B,5,Bar1B_G1_1B_05,-20868,60730.5
Bar1B,G1_1B,6,Bar1B_G1_1B_06,-20868,60480.5
Bar1B,G1_1B,7,Bar1B_G1_1B_07,-20868,60230.5
Bar1B,G1_1B,8,Bar1B_G1_1B_08,-20868,59980.5
Bar1B,G1_1B,9,Bar1B_G1_1B_09,-20868,59730.5
Bar1B,G1_1B,10,Bar1B_G1_1B_10,-20868,59480.5
Bar1B,G1_1B,11,Bar1B_G1_1B_11,-20868,59230.5
Bar1B,G1_1B,12,Bar1B_G1_1B_12,-20868,58980.5
Bar1B,G1_1B,13,Bar1B_G1_1B_13,-20868,58730.5
Bar1B,G1_1B,14,Bar1B_G1_1B_14,-20868,58480.5
Bar1B,G1_1B,15,Bar1B_G1_1B_15,-20868,58230.5
Bar1B,G1_1B,16,Bar1B_G1_1B_16,-20868,57980.5
Bar1B,G1_1B,17,Bar1B_G1_1B_17,-20868,57730.5
Bar1B,G1_1B,18,Bar1B_G1_1B_18,-20868,57480.5
Bar1B,G1_1B,19,Bar1B_G1_1B_19,-20868,57230.5
Bar1B,G1_1B,20,Bar1B_G1_1B_20,-20868,56980.5
Bar1B,G1_1B,21,Bar1B_G1_1B_21,-20868,56730.5
Bar1B,G1_1B,22,Bar1B_G1_1B_22,-20868,56480.5
Bar1B,G1_1B,23,Bar1B_G1_1B_23,-20868,56230.5
Bar1B,G1_1B,24,Bar1B_G1_1B_24,-20868,55980.5
Bar1B,G1_1B,25,Bar1B_G1_1B_25,-20868,55730.5
Bar1B,G1_1B,26,Bar1B_G1_1B_26,-20868,55480.5
Bar1B,G1_1B,27,Bar1B_G1_1B_27,-20868,55230.5
Bar1B,G1_1B,28,Bar1B_G1_1B_28,-20868,54980.5
Bar1B,G1_1B,29,Bar1B_G1_1B_29,-20868,54730.5
Bar1B,G1_1B,30,Bar1B_G1_1B_30,-20868,54480.5
Bar1B,G1_1B,31,Bar1B_G1_1B_31,-20868,54230.5
Bar1B,G1_1B,32,Bar1B_G1_1B_32,-20868,53980.5
Bar1B,G1_1B,33,Bar1B_G1_1B_33,-20868,53730.5
Bar1B,G1_1B,34,Bar1B_G1_1B_34,-20868,53480.5
Bar1B,G1_1B,35,Bar1B_G1_1B_35,-20868,53230.5
Bar1B,G1_1B,36,Bar1B_G1_1B_36,-20868,52980.5
Bar1B,G1_1B,37,Bar1B_G1_1B_37,-20868,52730.5
Bar1B,G1_1B,38,Bar1B_G1_1B_38,-20868,52480.5
Bar1B,G1_1B,39,Bar1B_G1_1B_39,-20868,52230.5
Bar1B,G1_1B,40,Bar1B_G1_1B_40,-20868,51980.5
Bar1B,G1_1B,41,Bar1B_G1_1B_41,-20868,51730.5
Bar1B,G1_1B,42,Bar1B_G1_1B_42,-20868,51480.5
Bar1B,G1_1B,43,Bar1B_G1_1B_43,-20868,51230.5
Bar1B,G1_1B,44,Bar1B_G1_1B_44,-20868,50980.5
Bar1B,G1_1B,45,Bar1B_G1_1B_45,-20868,50730.5
Bar1B,G1_1B,46,Bar1B_G1_1B_46,-20868,50480.5
Bar1B,G1_1B,47,Bar1B_G1_1B_47,-20868,50230.5
Bar1B,G1_1B,48,Bar1B_G1_1B_48,-20868,49980.5
Bar1B,G1_1B,49,Bar1B_G1_1B_49,-20868,49730.5
Bar1B,G1_1B,50,Bar1B_G1_1B_50,-20868,49480.5
Bar1B,G1_1B,51,Bar1B_G1_1B_51,-20868,49230.5
Bar1B,G1_1B,52,Bar1B_G1_1B_52,-20868,48980.5
Bar1B,G1_1B,53,Bar1B_G1_1B_53,-20868,48730.5
Bar1B,G1_1B,54,Bar1B_G1_1B_54,-20868,48480.5
Bar1B,G1_1B,55,Bar1B_G1_1B_55,-20868,48230.5
Bar1B,G1_1B,56,Bar1B_G1_1B_56,-20868,47980.5
