Photodetector: Keithley 2520-INT
Detector material: Ge
Serial Number: tbd
---
"Wavelength, nm","Responsivity, A/W"
950.759417,0.003041304
957.7694203,0.003109513
964.5165484,0.003165474
971.2636766,0.003221436
978.0108047,0.00327874
984.7579329,0.003335149
989.6649351,0.003366398
997.7264389,0.003450257
1004.999317,0.00351333
1012.022464,0.003532209
1018.143073,0.003600949
1025.240702,0.003691063
1031.98783,0.003753292
1038.734958,0.003808358
1045.482086,0.00386611
1052.229214,0.003926548
1058.976342,0.003987882
1065.723471,0.004046977
1072.470599,0.004105177
1079.217727,0.00416472
1085.964855,0.004225158
1092.711983,0.004287835
1099.459111,0.004348273
1106.352281,0.004413245
1112.528723,0.004458219
1119.700496,0.004515709
1133.194752,0.004665686
1139.94188,0.004733735
1146.689008,0.004794173
1153.436136,0.004854611
1160.183265,0.00491684
1166.930393,0.004994738
1173.677521,0.005053386
1180.424649,0.005096364
1187.171777,0.005142476
1193.918905,0.005196647
1200.666033,0.005254846
1207.413162,0.005306331
1214.415863,0.005361229
1220.907418,0.00541181
1227.654546,0.005479587
1234.401674,0.005531519
1247.947045,0.005612588
1254.643059,0.005656425
1261.390187,0.005693583
1268.137315,0.005757155
1274.884443,0.005813116
1281.631571,0.005861915
1288.378699,0.005903998
1295.125827,0.005941156
1301.872956,0.005978314
1308.620084,0.006015025
1315.367212,0.006067405
1322.11434,0.006121575
1328.861468,0.006164106
1335.608596,0.006208427
1342.355724,0.006235736
1349.102853,0.006222753
1355.849981,0.006218724
1362.597109,0.006230812
1369.344237,0.006262598
1376.091365,0.006286325
1382.838493,0.006319455
1389.585621,0.006370939
1396.33275,0.006349897
1403.079878,0.006351241
1409.827006,0.006421838
1416.574134,0.006473012
1423.321262,0.006513752
1430.64343,0.006539596
1436.428124,0.006562928
1443.562647,0.006652984
1450.309775,0.006710288
1457.056903,0.006766697
1463.804031,0.006822211
1470.551159,0.006879963
1477.298287,0.006937715
1484.045415,0.006999049
1490.792544,0.007064412
1497.539672,0.007125745
1504.2868,0.007188422
1511.033928,0.007253785
1517.781056,0.007326311
1525.053935,0.007396796
1530.734099,0.007442433
1538.022441,0.007516579
1544.769569,0.007535382
1551.516697,0.007521056
1558.789575,0.007459371
1563.170827,0.007418904
1566.719641,0.007311281
1570.531331,0.007218417
1573.598207,0.00711117
1576.621271,0.006976408
1580.25771,0.006821635
1582.408507,0.006687904
1584.891529,0.00651082
1584.025587,0.006614333
1588.891698,0.00637838
1591.330329,0.00621962
1593.164879,0.006102011
1595.577488,0.00597865
1598.030989,0.005846507
1600.48449,0.005714774
1603.653596,0.005602329
1607.988115,0.00544562
1609.305411,0.005304156
1612.854225,0.005181112
1615.921102,0.005068831
1619.550239,0.004952693
