Photodetector: Thorlabs S148C
Detector material: Extended InGaAs
Serial Number: 220922308
Date of Calibration: 2022-09-22
Calibration document number: 20220926133909794
Contents: Responsivity curve 
Calibration Temperature: 23.4
Humidity: 0.5
Tester: Axel Breitbart
---
"Wavelength, nm","Responsivity, A/W"
1200,0.000893
1210,0.000915
1220,0.000932
1230,0.000949
1240,0.000965
1250,0.000983
1260,0.001
1270,0.00102
1280,0.00104
1290,0.00106
1300,0.00108
1310,0.00111
1320,0.00113
1330,0.00115
1340,0.00116
1350,0.00118
1360,0.00120
1370,0.00121
1380,0.00123
1390,0.00124
1400,0.00126
1410,0.00128
1420,0.00131
1430,0.00134
1440,0.00136
1450,0.00139
1460,0.00142
1470,0.00144
1480,0.00146
1490,0.00148
1500,0.00150
1510,0.00152
1520,0.00154
1530,0.00157
1540,0.00160
1550,0.00162
1560,0.00165
1570,0.00167
1580,0.00169
1590,0.00172
1600,0.00174
1610,0.00177
1620,0.00179
1630,0.00182
1640,0.00185
1650,0.00187
1660,0.00189
1670,0.00191
1680,0.00193
1690,0.00195
1700,0.00198
1710,0.00200
1720,0.00204
1730,0.00208
1740,0.00212
1750,0.00216
1760,0.00220
1770,0.00224
1780,0.00228
1790,0.00231
1800,0.00234
1810,0.00236
1820,0.00237
1830,0.00239
1840,0.00240
1850,0.00240
1860,0.00242
1870,0.00243
1880,0.00244
1890,0.00246
1900,0.00249
1910,0.00251
1920,0.00254
1930,0.00256
1940,0.00256
1950,0.00256
1960,0.00254
1970,0.00250
1980,0.00245
1990,0.00239
2000,0.00232
2010,0.00224
2020,0.00216
2030,0.00208
2040,0.00200
2050,0.00194
2060,0.00189
2070,0.00184
2080,0.00180
2090,0.00176
2100,0.00171
2110,0.00165
2120,0.00159
2130,0.00155
2140,0.00154
2150,0.00157
2160,0.00166
2170,0.00178
2180,0.00193
2190,0.00206
2200,0.00217
2210,0.00223
2220,0.00226
2230,0.00225
2240,0.00223
2250,0.00219
2260,0.00216
2270,0.00213
2280,0.00208
2290,0.00203
2300,0.00198
2310,0.00191
2320,0.00183
2330,0.00175
2340,0.00169
2350,0.00163
2360,0.00158
2370,0.00156
2380,0.00155
2390,0.00153
2400,0.00151
2410,0.00150
2420,0.00149
2430,0.00148
2440,0.00148
2450,0.00147
2460,0.00144
2470,0.00143
2480,0.00141
2490,0.00138
2500,0.00136
