Photodetector: Thorlabs S148C
Detector material: Extended InGaAs
Serial Number: 18052904
Date of Calibration: 2018-05-29
Calibration document number: 18149092703
Contents: Responsivity curve 
Calibration Temperature: 24.4
Humidity: 0.6
Tester: Diana Szuecs
---
"Wavelength, nm","Responsivity, A/W"
1200,0.000806
1210,0.00082
1220,0.000835
1230,0.000851
1240,0.000868
1250,0.000886
1260,0.000906
1270,0.000926
1280,0.000947
1290,0.000966
1300,0.000985
1310,0.001
1320,0.00102
1330,0.00104
1340,0.00105
1350,0.00107
1360,0.00108
1370,0.0011
1380,0.00112
1390,0.00114
1400,0.00117
1410,0.00119
1420,0.00121
1430,0.00124
1440,0.00126
1450,0.00129
1460,0.00131
1470,0.00133
1480,0.00135
1490,0.00137
1500,0.00139
1510,0.0014
1520,0.00142
1530,0.00144
1540,0.00147
1550,0.00149
1560,0.00151
1570,0.00153
1580,0.00156
1590,0.00158
1600,0.00161
1610,0.00163
1620,0.00165
1630,0.00168
1640,0.0017
1650,0.00172
1660,0.00173
1670,0.00174
1680,0.00176
1690,0.00178
1700,0.0018
1710,0.00183
1720,0.00187
1730,0.00191
1740,0.00195
1750,0.00199
1760,0.00202
1770,0.00205
1780,0.00208
1790,0.0021
1800,0.00212
1810,0.00214
1820,0.00215
1830,0.00216
1840,0.00218
1850,0.00219
1860,0.0022
1870,0.00221
1880,0.00223
1890,0.00225
1900,0.00226
1910,0.00229
1920,0.00231
1930,0.00232
1940,0.00233
1950,0.00231
1960,0.00229
1970,0.00225
1980,0.0022
1990,0.00214
2000,0.00208
2010,0.002
2020,0.00193
2030,0.00186
2040,0.00179
2050,0.00172
2060,0.00167
2070,0.00163
2080,0.00159
2090,0.00155
2100,0.00151
2110,0.00146
2120,0.00141
2130,0.00138
2140,0.00138
2150,0.00141
2160,0.0015
2170,0.0016
2180,0.00173
2190,0.00185
2200,0.00195
2210,0.00199
2220,0.00202
2230,0.00201
2240,0.00198
2250,0.00195
2260,0.00191
2270,0.00186
2280,0.00181
2290,0.00177
2300,0.0017
2310,0.00165
2320,0.00158
2330,0.00152
2340,0.00146
2350,0.00141
2360,0.00138
2370,0.00135
2380,0.00133
2390,0.00132
2400,0.00132
2410,0.0013
2420,0.00129
2430,0.00131
2440,0.00128
2450,0.00129
2460,0.0013
2470,0.00126
2480,0.00124
2490,0.00121
2500,0.00116
